C:\Users\jvaughan\OneDrive\Development\Riemann\session49a_modular_probe.py:6: SyntaxWarning: invalid escape sequence '\H'
  is a function on SL(2,Z)\H. Conjecture 3 in structural_analysis_draft.tex

##########################################################################
  SESSION 49a -- MODULAR STRUCTURE PROBE OF B(y)
##########################################################################

==========================================================================
  STAGE 1: DENSE B(y) SCAN
==========================================================================

  Tractable range y in [0.15, 1.35] (lam_sq <= 1.3e7).
  Looking for: extrema, monotonicity, fundamental-domain features.

         y        lam^2     N           B(y)          W02            M     dt
  ------------------------------------------------------------------------
    0.2000         12.3    20     0.09641674    -0.693371    -0.789788   12.1s
    0.2500         23.1    20     0.09169563    -1.414152    -1.505848   13.9s
    0.3000         43.4    23     0.04026440    -2.587325    -2.627589   16.8s
    0.3500         81.3    26     0.07146285    -4.388060    -4.459523   18.5s
    0.4000        152.4    30     0.06095401    -7.063668    -7.124622   21.3s
    0.4500        285.7    34     0.02786540   -10.939571   -10.967436   25.5s
    0.5000        535.5    38     0.06153214   -16.464064   -16.525596   28.9s
    0.5500       1003.8    41     0.04390683   -24.237722   -24.281628   31.9s
    0.6200       2419.1    47     0.03048808   -40.588457   -40.618945   40.9s
    0.6860       5544.3    52     0.03442621   -64.620697   -64.655123   53.5s
    0.7520      12707.0    57     0.02911255  -101.423019  -101.452131   80.3s
    0.8180      29123.2    62     0.04375411  -157.559908  -157.603662  140.8s
    0.8660      53252.3    65     0.02539790  -216.026773  -216.052171  220.1s
