
############################################################################
  SESSION 49b -- MODULAR STRUCTURE PROBE (FAST, PARTIAL BARRIER)
############################################################################

============================================================================
  STAGE 1: DENSE B_partial(y) SCAN
============================================================================

  y in [0.20, 1.50] (lam_sq <= 1.5e8 with vectorized sieve).
  Including Heegner heights 3,1,7,2 so Stage 2 reads from cache.

  Scanning 27 y values.

         y          lam^2     N    primes      B_partial          W02           Mp     dt
  --------------------------------------------------------------------------------------
    0.2000           12.3    15         5     1.16908791    -0.686173    -1.855261    0.0s
    0.2500           23.1    19         9     1.42780857    -1.411751    -2.839559    0.0s
    0.3000           43.4    23        14     1.61495073    -2.587325    -4.202275    0.0s
    0.3500           81.3    26        22     1.84911212    -4.388060    -6.237172    0.0s
    0.4000          152.4    30        36     2.01963003    -7.063668    -9.083298    0.0s
    0.4500          285.7    34        61     2.14830342   -10.939571   -13.087874    0.0s
    0.5000          535.5    38        99     2.32597941   -16.464064   -18.790044    0.0s
    0.5500         1003.8    41       168     2.43601132   -24.237722   -26.673733    0.0s
    0.6000         1881.5    45       289     2.56016915   -35.118352   -37.678521    0.0s
    0.6500         3526.8    49       491     2.62539573   -50.242125   -52.867521    0.0s
    0.7000         6610.8    53       854     2.72207271   -71.176842   -73.898915    0.0s
    0.7500        12391.6    57      1479     2.79935049  -100.068628  -102.867978    0.1s
    0.8000        23227.6    60      2592     2.84432629  -139.814350  -142.658676    0.1s
    0.8500        43539.1    64      4535     2.90994664  -194.506891  -197.416838    0.2s
    0.8660        53252.3    65      5432     2.91542339  -216.026773  -218.942197    0.3s
    0.9000        81612.2    68      7981     2.94871420  -269.620189  -272.568903    0.4s
    0.9500       152978.4    72     14108     2.99537510  -372.692653  -375.688029    0.8s
    1.0000       286751.3    75     24976     3.03486476  -513.927713  -516.962578    1.9s
    1.0643       643198.5    80     52305     3.06170383  -775.156158  -778.217861    5.0s
    1.1286      1442728.8    85    110117     3.07654265 -1166.803033 -1169.879576   11.6s
    1.1929      3236117.6    90    232655     3.08899782 -1753.778226 -1756.867224   26.4s
    1.2571      7258785.6    95    493033     3.09905232 -2633.297570 -2636.396622   59.4s
    1.3214     16281843.5   100   1048072     3.12740618 -3950.960445 -3954.087851  135.5s
    1.3229     16580631.9   100   1065983     3.12395944 -3987.106307 -3990.230267  138.1s
    1.3857     36521048.9   104   2234244     3.15603667 -5923.865040 -5927.021077  303.6s
